Model,Layer1,Layer2,Delta_acc1,Delta_acc2,Accuracy,Delta_acc
1638,stage2.unit1.quant_convbn1,stage2.unit1.quant_convbn3,0.196,0.344,77.118,0.36
1639,stage2.unit1.quant_convbn1,stage2.unit2.quant_act,0.196,0.086,77.278,0.2
1640,stage2.unit1.quant_convbn1,stage2.unit2.quant_convbn1,0.196,0.094,77.312,0.166
1641,stage2.unit1.quant_convbn1,stage2.unit2.quant_act1,0.196,0.126,77.272,0.206
1642,stage2.unit1.quant_convbn1,stage2.unit2.quant_convbn2,0.196,0.21,77.212,0.266
1643,stage2.unit1.quant_convbn1,stage2.unit2.quant_act2,0.196,0.04,77.356,0.122
1644,stage2.unit1.quant_convbn1,stage2.unit2.quant_convbn3,0.196,0.018,77.422,0.056
1645,stage2.unit1.quant_convbn1,stage2.unit3.quant_act,0.196,0.11,77.162,0.316
1646,stage2.unit1.quant_convbn1,stage2.unit3.quant_convbn1,0.196,0.152,77.276,0.202
1647,stage2.unit1.quant_convbn1,stage2.unit3.quant_act1,0.196,0.116,77.238,0.24
1648,stage2.unit1.quant_convbn1,stage2.unit3.quant_convbn2,0.196,0.102,77.236,0.242
1649,stage2.unit1.quant_convbn1,stage2.unit3.quant_act2,0.196,0.132,77.372,0.106
1650,stage2.unit1.quant_convbn1,stage2.unit3.quant_convbn3,0.196,0.07,77.242,0.236
1651,stage2.unit1.quant_convbn1,stage2.unit4.quant_act,0.196,0.734,76.714,0.764
1652,stage2.unit1.quant_convbn1,stage2.unit4.quant_convbn1,0.196,0.314,77.064,0.414
1653,stage2.unit1.quant_convbn1,stage2.unit4.quant_act1,0.196,0.406,76.986,0.492
1654,stage2.unit1.quant_convbn1,stage2.unit4.quant_convbn2,0.196,0.158,77.226,0.252
1655,stage2.unit1.quant_convbn1,stage2.unit4.quant_act2,0.196,0.324,77.18,0.298
1656,stage2.unit1.quant_convbn1,stage2.unit4.quant_convbn3,0.196,0.162,77.168,0.31
1657,stage2.unit1.quant_convbn1,stage3.unit1.quant_act,0.196,2.506,74.79,2.688
1658,stage2.unit1.quant_convbn1,stage3.unit1.quant_convbn1,0.196,0.044,77.328,0.15
1659,stage2.unit1.quant_convbn1,stage3.unit1.quant_act1,0.196,1.498,75.9,1.578
1660,stage2.unit1.quant_convbn1,stage3.unit1.quant_convbn2,0.196,0.146,77.228,0.25
1661,stage2.unit1.quant_convbn1,stage3.unit1.quant_act2,0.196,6.106,71.204,6.274
1662,stage2.unit1.quant_convbn1,stage3.unit1.quant_convbn3,0.196,0.168,77.274,0.204
1663,stage2.unit1.quant_convbn1,stage3.unit2.quant_act,0.196,0.324,77.098,0.38
1664,stage2.unit1.quant_convbn1,stage3.unit2.quant_convbn1,0.196,0.038,77.34,0.138
1665,stage2.unit1.quant_convbn1,stage3.unit2.quant_act1,0.196,1.442,75.944,1.534
1666,stage2.unit1.quant_convbn1,stage3.unit2.quant_convbn2,0.196,0.162,77.252,0.226
1667,stage2.unit1.quant_convbn1,stage3.unit2.quant_act2,0.196,0.53,76.924,0.554
1668,stage2.unit1.quant_convbn1,stage3.unit2.quant_convbn3,0.196,0.106,77.394,0.084
1669,stage2.unit1.quant_convbn1,stage3.unit3.quant_act,0.196,0.246,77.038,0.44
1670,stage2.unit1.quant_convbn1,stage3.unit3.quant_convbn1,0.196,0.25,77.374,0.104
1671,stage2.unit1.quant_convbn1,stage3.unit3.quant_act1,0.196,1.5,76.1,1.378
1672,stage2.unit1.quant_convbn1,stage3.unit3.quant_convbn2,0.196,0.174,77.354,0.124
1673,stage2.unit1.quant_convbn1,stage3.unit3.quant_act2,0.196,6.144,71.306,6.172
1674,stage2.unit1.quant_convbn1,stage3.unit3.quant_convbn3,0.196,0.176,77.296,0.182
1675,stage2.unit1.quant_convbn1,stage3.unit4.quant_act,0.196,0.43,77.088,0.39
1676,stage2.unit1.quant_convbn1,stage3.unit4.quant_convbn1,0.196,-0.036,77.31,0.168
1677,stage2.unit1.quant_convbn1,stage3.unit4.quant_act1,0.196,0.708,76.686,0.792
1678,stage2.unit1.quant_convbn1,stage3.unit4.quant_convbn2,0.196,0.156,77.256,0.222
1679,stage2.unit1.quant_convbn1,stage3.unit4.quant_act2,0.196,1.102,76.308,1.17
1680,stage2.unit1.quant_convbn1,stage3.unit4.quant_convbn3,0.196,0.194,77.288,0.19
1681,stage2.unit1.quant_convbn1,stage3.unit5.quant_act,0.196,0.308,77.064,0.414
1682,stage2.unit1.quant_convbn1,stage3.unit5.quant_convbn1,0.196,0.17,77.322,0.156
1683,stage2.unit1.quant_convbn1,stage3.unit5.quant_act1,0.196,1.986,75.596,1.882
1684,stage2.unit1.quant_convbn1,stage3.unit5.quant_convbn2,0.196,0.14,77.302,0.176
1685,stage2.unit1.quant_convbn1,stage3.unit5.quant_act2,0.196,3.05,74.388,3.09
1686,stage2.unit1.quant_convbn1,stage3.unit5.quant_convbn3,0.196,0.096,77.332,0.146
1687,stage2.unit1.quant_convbn1,stage3.unit6.quant_act,0.196,0.422,76.824,0.654
1688,stage2.unit1.quant_convbn1,stage3.unit6.quant_convbn1,0.196,0.18,77.208,0.27
1689,stage2.unit1.quant_convbn1,stage3.unit6.quant_act1,0.196,1.024,76.29,1.188
1690,stage2.unit1.quant_convbn1,stage3.unit6.quant_convbn2,0.196,0.116,77.218,0.26
1691,stage2.unit1.quant_convbn1,stage3.unit6.quant_act2,0.196,4.312,72.926,4.552
1692,stage2.unit1.quant_convbn1,stage3.unit6.quant_convbn3,0.196,0.116,77.19,0.288
1693,stage2.unit1.quant_convbn1,stage4.unit1.quant_act,0.196,12.264,65.268,12.21
1694,stage2.unit1.quant_convbn1,stage4.unit1.quant_convbn1,0.196,0.15,77.224,0.254
1695,stage2.unit1.quant_convbn1,stage4.unit1.quant_act1,0.196,0.256,77.144,0.334
1696,stage2.unit1.quant_convbn1,stage4.unit1.quant_convbn2,0.196,0.066,77.242,0.236
1697,stage2.unit1.quant_convbn1,stage4.unit1.quant_act2,0.196,0.15,77.236,0.242
1698,stage2.unit1.quant_convbn1,stage4.unit1.quant_convbn3,0.196,0.048,77.184,0.294
1699,stage2.unit1.quant_convbn1,stage4.unit2.quant_act,0.196,1.294,76.18,1.298
1700,stage2.unit1.quant_convbn1,stage4.unit2.quant_convbn1,0.196,0.216,77.144,0.334
1701,stage2.unit1.quant_convbn1,stage4.unit2.quant_act1,0.196,0.122,77.152,0.326
1702,stage2.unit1.quant_convbn1,stage4.unit2.quant_convbn2,0.196,0.024,77.312,0.166
1703,stage2.unit1.quant_convbn1,stage4.unit2.quant_act2,0.196,0.052,77.266,0.212
1704,stage2.unit1.quant_convbn1,stage4.unit2.quant_convbn3,0.196,0.148,77.274,0.204
1705,stage2.unit1.quant_convbn1,stage4.unit3.quant_act,0.196,1.1,76.382,1.096
1706,stage2.unit1.quant_convbn1,stage4.unit3.quant_convbn1,0.196,0.308,77.024,0.454
1707,stage2.unit1.quant_convbn1,stage4.unit3.quant_act1,0.196,0.222,77.15,0.328
1708,stage2.unit1.quant_convbn1,stage4.unit3.quant_convbn2,0.196,0.252,77.16,0.318
1709,stage2.unit1.quant_convbn1,stage4.unit3.quant_act2,0.196,0.512,76.836,0.642
1710,stage2.unit1.quant_convbn1,stage4.unit3.quant_convbn3,0.196,0.146,77.262,0.216
2005,stage2.unit2.quant_act,stage2.unit2.quant_convbn1,0.086,0.094,77.304,0.174
2006,stage2.unit2.quant_act,stage2.unit2.quant_act1,0.086,0.126,77.266,0.212
2007,stage2.unit2.quant_act,stage2.unit2.quant_convbn2,0.086,0.21,77.188,0.29
2008,stage2.unit2.quant_act,stage2.unit2.quant_act2,0.086,0.04,77.386,0.092
2009,stage2.unit2.quant_act,stage2.unit2.quant_convbn3,0.086,0.018,77.476,0.002
2010,stage2.unit2.quant_act,stage2.unit3.quant_act,0.086,0.11,77.212,0.266
2011,stage2.unit2.quant_act,stage2.unit3.quant_convbn1,0.086,0.152,77.282,0.196
2012,stage2.unit2.quant_act,stage2.unit3.quant_act1,0.086,0.116,77.208,0.27
2013,stage2.unit2.quant_act,stage2.unit3.quant_convbn2,0.086,0.102,77.412,0.066
2014,stage2.unit2.quant_act,stage2.unit3.quant_act2,0.086,0.132,77.328,0.15
2015,stage2.unit2.quant_act,stage2.unit3.quant_convbn3,0.086,0.07,77.27,0.208
2016,stage2.unit2.quant_act,stage2.unit4.quant_act,0.086,0.734,76.708,0.77
2017,stage2.unit2.quant_act,stage2.unit4.quant_convbn1,0.086,0.314,77.182,0.296
2018,stage2.unit2.quant_act,stage2.unit4.quant_act1,0.086,0.406,77.106,0.372
2019,stage2.unit2.quant_act,stage2.unit4.quant_convbn2,0.086,0.158,77.27,0.208
2020,stage2.unit2.quant_act,stage2.unit4.quant_act2,0.086,0.324,77.206,0.272
2021,stage2.unit2.quant_act,stage2.unit4.quant_convbn3,0.086,0.162,77.208,0.27
2022,stage2.unit2.quant_act,stage3.unit1.quant_act,0.086,2.506,75.046,2.432
2023,stage2.unit2.quant_act,stage3.unit1.quant_convbn1,0.086,0.044,77.266,0.212
2024,stage2.unit2.quant_act,stage3.unit1.quant_act1,0.086,1.498,75.906,1.572
2025,stage2.unit2.quant_act,stage3.unit1.quant_convbn2,0.086,0.146,77.242,0.236
2026,stage2.unit2.quant_act,stage3.unit1.quant_act2,0.086,6.106,71.196,6.282
2027,stage2.unit2.quant_act,stage3.unit1.quant_convbn3,0.086,0.168,77.2,0.278
2028,stage2.unit2.quant_act,stage3.unit2.quant_act,0.086,0.324,77.046,0.432
2029,stage2.unit2.quant_act,stage3.unit2.quant_convbn1,0.086,0.038,77.26,0.218
2030,stage2.unit2.quant_act,stage3.unit2.quant_act1,0.086,1.442,76.008,1.47
2031,stage2.unit2.quant_act,stage3.unit2.quant_convbn2,0.086,0.162,77.352,0.126
2032,stage2.unit2.quant_act,stage3.unit2.quant_act2,0.086,0.53,76.978,0.5
2033,stage2.unit2.quant_act,stage3.unit2.quant_convbn3,0.086,0.106,77.314,0.164
2034,stage2.unit2.quant_act,stage3.unit3.quant_act,0.086,0.246,77.206,0.272
2035,stage2.unit2.quant_act,stage3.unit3.quant_convbn1,0.086,0.25,77.244,0.234
2036,stage2.unit2.quant_act,stage3.unit3.quant_act1,0.086,1.5,76.004,1.474
2037,stage2.unit2.quant_act,stage3.unit3.quant_convbn2,0.086,0.174,77.236,0.242
2038,stage2.unit2.quant_act,stage3.unit3.quant_act2,0.086,6.144,71.246,6.232
2039,stage2.unit2.quant_act,stage3.unit3.quant_convbn3,0.086,0.176,77.19,0.288
2040,stage2.unit2.quant_act,stage3.unit4.quant_act,0.086,0.43,77.012,0.466
2041,stage2.unit2.quant_act,stage3.unit4.quant_convbn1,0.086,-0.036,77.292,0.186
2042,stage2.unit2.quant_act,stage3.unit4.quant_act1,0.086,0.708,76.722,0.756
2043,stage2.unit2.quant_act,stage3.unit4.quant_convbn2,0.086,0.156,77.208,0.27
2044,stage2.unit2.quant_act,stage3.unit4.quant_act2,0.086,1.102,76.246,1.232
2045,stage2.unit2.quant_act,stage3.unit4.quant_convbn3,0.086,0.194,77.272,0.206
2046,stage2.unit2.quant_act,stage3.unit5.quant_act,0.086,0.308,77.198,0.28
2047,stage2.unit2.quant_act,stage3.unit5.quant_convbn1,0.086,0.17,77.234,0.244
2048,stage2.unit2.quant_act,stage3.unit5.quant_act1,0.086,1.986,75.474,2.004
2049,stage2.unit2.quant_act,stage3.unit5.quant_convbn2,0.086,0.14,77.352,0.126
2050,stage2.unit2.quant_act,stage3.unit5.quant_act2,0.086,3.05,74.302,3.176
2051,stage2.unit2.quant_act,stage3.unit5.quant_convbn3,0.086,0.096,77.314,0.164
2052,stage2.unit2.quant_act,stage3.unit6.quant_act,0.086,0.422,76.828,0.65
2053,stage2.unit2.quant_act,stage3.unit6.quant_convbn1,0.086,0.18,77.182,0.296
2054,stage2.unit2.quant_act,stage3.unit6.quant_act1,0.086,1.024,76.422,1.056
2055,stage2.unit2.quant_act,stage3.unit6.quant_convbn2,0.086,0.116,77.31,0.168
2056,stage2.unit2.quant_act,stage3.unit6.quant_act2,0.086,4.312,73.026,4.452
2057,stage2.unit2.quant_act,stage3.unit6.quant_convbn3,0.086,0.116,77.308,0.17
2058,stage2.unit2.quant_act,stage4.unit1.quant_act,0.086,12.264,64.978,12.5
2059,stage2.unit2.quant_act,stage4.unit1.quant_convbn1,0.086,0.15,77.294,0.184
2060,stage2.unit2.quant_act,stage4.unit1.quant_act1,0.086,0.256,77.278,0.2
2061,stage2.unit2.quant_act,stage4.unit1.quant_convbn2,0.086,0.066,77.366,0.112
2062,stage2.unit2.quant_act,stage4.unit1.quant_act2,0.086,0.15,77.29,0.188
2063,stage2.unit2.quant_act,stage4.unit1.quant_convbn3,0.086,0.048,77.346,0.132
2064,stage2.unit2.quant_act,stage4.unit2.quant_act,0.086,1.294,76.23,1.248
2065,stage2.unit2.quant_act,stage4.unit2.quant_convbn1,0.086,0.216,77.176,0.302
2066,stage2.unit2.quant_act,stage4.unit2.quant_act1,0.086,0.122,77.238,0.24
2067,stage2.unit2.quant_act,stage4.unit2.quant_convbn2,0.086,0.024,77.388,0.09
2068,stage2.unit2.quant_act,stage4.unit2.quant_act2,0.086,0.052,77.338,0.14
2069,stage2.unit2.quant_act,stage4.unit2.quant_convbn3,0.086,0.148,77.33,0.148
2070,stage2.unit2.quant_act,stage4.unit3.quant_act,0.086,1.1,76.368,1.11
2071,stage2.unit2.quant_act,stage4.unit3.quant_convbn1,0.086,0.308,77.07,0.408
2072,stage2.unit2.quant_act,stage4.unit3.quant_act1,0.086,0.222,77.206,0.272
2073,stage2.unit2.quant_act,stage4.unit3.quant_convbn2,0.086,0.252,77.164,0.314
2074,stage2.unit2.quant_act,stage4.unit3.quant_act2,0.086,0.512,76.884,0.594
2075,stage2.unit2.quant_act,stage4.unit3.quant_convbn3,0.086,0.146,77.3,0.178
2076,stage2.unit2.quant_convbn1,stage2.unit2.quant_act1,0.094,0.126,77.252,0.226
2077,stage2.unit2.quant_convbn1,stage2.unit2.quant_convbn2,0.094,0.21,77.256,0.222
2078,stage2.unit2.quant_convbn1,stage2.unit2.quant_act2,0.094,0.04,77.362,0.116
2079,stage2.unit2.quant_convbn1,stage2.unit2.quant_convbn3,0.094,0.018,77.506,-0.028
2080,stage2.unit2.quant_convbn1,stage2.unit3.quant_act,0.094,0.11,77.328,0.15
2081,stage2.unit2.quant_convbn1,stage2.unit3.quant_convbn1,0.094,0.152,77.228,0.25
2082,stage2.unit2.quant_convbn1,stage2.unit3.quant_act1,0.094,0.116,77.342,0.136
2083,stage2.unit2.quant_convbn1,stage2.unit3.quant_convbn2,0.094,0.102,77.34,0.138
2084,stage2.unit2.quant_convbn1,stage2.unit3.quant_act2,0.094,0.132,77.288,0.19
2085,stage2.unit2.quant_convbn1,stage2.unit3.quant_convbn3,0.094,0.07,77.388,0.09
2086,stage2.unit2.quant_convbn1,stage2.unit4.quant_act,0.094,0.734,76.67,0.808
2087,stage2.unit2.quant_convbn1,stage2.unit4.quant_convbn1,0.094,0.314,77.096,0.382
2088,stage2.unit2.quant_convbn1,stage2.unit4.quant_act1,0.094,0.406,77.09,0.388
2089,stage2.unit2.quant_convbn1,stage2.unit4.quant_convbn2,0.094,0.158,77.292,0.186
2090,stage2.unit2.quant_convbn1,stage2.unit4.quant_act2,0.094,0.324,77.154,0.324
2091,stage2.unit2.quant_convbn1,stage2.unit4.quant_convbn3,0.094,0.162,77.234,0.244
2092,stage2.unit2.quant_convbn1,stage3.unit1.quant_act,0.094,2.506,74.838,2.64
2093,stage2.unit2.quant_convbn1,stage3.unit1.quant_convbn1,0.094,0.044,77.234,0.244
2094,stage2.unit2.quant_convbn1,stage3.unit1.quant_act1,0.094,1.498,76.084,1.394
2095,stage2.unit2.quant_convbn1,stage3.unit1.quant_convbn2,0.094,0.146,77.244,0.234
2096,stage2.unit2.quant_convbn1,stage3.unit1.quant_act2,0.094,6.106,71.34,6.138
2097,stage2.unit2.quant_convbn1,stage3.unit1.quant_convbn3,0.094,0.168,77.218,0.26
2098,stage2.unit2.quant_convbn1,stage3.unit2.quant_act,0.094,0.324,77.066,0.412
2099,stage2.unit2.quant_convbn1,stage3.unit2.quant_convbn1,0.094,0.038,77.33,0.148
2100,stage2.unit2.quant_convbn1,stage3.unit2.quant_act1,0.094,1.442,75.864,1.614
2101,stage2.unit2.quant_convbn1,stage3.unit2.quant_convbn2,0.094,0.162,77.32,0.158
2102,stage2.unit2.quant_convbn1,stage3.unit2.quant_act2,0.094,0.53,76.818,0.66
2103,stage2.unit2.quant_convbn1,stage3.unit2.quant_convbn3,0.094,0.106,77.332,0.146
2104,stage2.unit2.quant_convbn1,stage3.unit3.quant_act,0.094,0.246,77.044,0.434
2105,stage2.unit2.quant_convbn1,stage3.unit3.quant_convbn1,0.094,0.25,77.222,0.256
2106,stage2.unit2.quant_convbn1,stage3.unit3.quant_act1,0.094,1.5,75.912,1.566
2107,stage2.unit2.quant_convbn1,stage3.unit3.quant_convbn2,0.094,0.174,77.292,0.186
2108,stage2.unit2.quant_convbn1,stage3.unit3.quant_act2,0.094,6.144,71.196,6.282
2109,stage2.unit2.quant_convbn1,stage3.unit3.quant_convbn3,0.094,0.176,77.37,0.108
2110,stage2.unit2.quant_convbn1,stage3.unit4.quant_act,0.094,0.43,77.046,0.432
2111,stage2.unit2.quant_convbn1,stage3.unit4.quant_convbn1,0.094,-0.036,77.288,0.19
2112,stage2.unit2.quant_convbn1,stage3.unit4.quant_act1,0.094,0.708,76.724,0.754
2113,stage2.unit2.quant_convbn1,stage3.unit4.quant_convbn2,0.094,0.156,77.338,0.14
2114,stage2.unit2.quant_convbn1,stage3.unit4.quant_act2,0.094,1.102,76.356,1.122
2115,stage2.unit2.quant_convbn1,stage3.unit4.quant_convbn3,0.094,0.194,77.24,0.238
2116,stage2.unit2.quant_convbn1,stage3.unit5.quant_act,0.094,0.308,77.032,0.446
2117,stage2.unit2.quant_convbn1,stage3.unit5.quant_convbn1,0.094,0.17,77.23,0.248
2118,stage2.unit2.quant_convbn1,stage3.unit5.quant_act1,0.094,1.986,75.5,1.978
2119,stage2.unit2.quant_convbn1,stage3.unit5.quant_convbn2,0.094,0.14,77.294,0.184
2120,stage2.unit2.quant_convbn1,stage3.unit5.quant_act2,0.094,3.05,74.436,3.042
2121,stage2.unit2.quant_convbn1,stage3.unit5.quant_convbn3,0.094,0.096,77.366,0.112
2122,stage2.unit2.quant_convbn1,stage3.unit6.quant_act,0.094,0.422,76.898,0.58
2123,stage2.unit2.quant_convbn1,stage3.unit6.quant_convbn1,0.094,0.18,77.268,0.21
2124,stage2.unit2.quant_convbn1,stage3.unit6.quant_act1,0.094,1.024,76.348,1.13
2125,stage2.unit2.quant_convbn1,stage3.unit6.quant_convbn2,0.094,0.116,77.198,0.28
2126,stage2.unit2.quant_convbn1,stage3.unit6.quant_act2,0.094,4.312,73.028,4.45
2127,stage2.unit2.quant_convbn1,stage3.unit6.quant_convbn3,0.094,0.116,77.336,0.142
2128,stage2.unit2.quant_convbn1,stage4.unit1.quant_act,0.094,12.264,65.16,12.318
2129,stage2.unit2.quant_convbn1,stage4.unit1.quant_convbn1,0.094,0.15,77.248,0.23
2130,stage2.unit2.quant_convbn1,stage4.unit1.quant_act1,0.094,0.256,77.17,0.308
2131,stage2.unit2.quant_convbn1,stage4.unit1.quant_convbn2,0.094,0.066,77.306,0.172
2132,stage2.unit2.quant_convbn1,stage4.unit1.quant_act2,0.094,0.15,77.3,0.178
2133,stage2.unit2.quant_convbn1,stage4.unit1.quant_convbn3,0.094,0.048,77.302,0.176
2134,stage2.unit2.quant_convbn1,stage4.unit2.quant_act,0.094,1.294,76.194,1.284
2135,stage2.unit2.quant_convbn1,stage4.unit2.quant_convbn1,0.094,0.216,77.238,0.24
2136,stage2.unit2.quant_convbn1,stage4.unit2.quant_act1,0.094,0.122,77.294,0.184
2137,stage2.unit2.quant_convbn1,stage4.unit2.quant_convbn2,0.094,0.024,77.31,0.168
2138,stage2.unit2.quant_convbn1,stage4.unit2.quant_act2,0.094,0.052,77.394,0.084
2139,stage2.unit2.quant_convbn1,stage4.unit2.quant_convbn3,0.094,0.148,77.33,0.148
2140,stage2.unit2.quant_convbn1,stage4.unit3.quant_act,0.094,1.1,76.428,1.05
2141,stage2.unit2.quant_convbn1,stage4.unit3.quant_convbn1,0.094,0.308,77.046,0.432
2142,stage2.unit2.quant_convbn1,stage4.unit3.quant_act1,0.094,0.222,77.182,0.296
2143,stage2.unit2.quant_convbn1,stage4.unit3.quant_convbn2,0.094,0.252,77.244,0.234
2144,stage2.unit2.quant_convbn1,stage4.unit3.quant_act2,0.094,0.512,76.902,0.576
2145,stage2.unit2.quant_convbn1,stage4.unit3.quant_convbn3,0.094,0.146,77.318,0.16
2416,stage2.unit3.quant_act,stage2.unit3.quant_convbn1,0.11,0.152,77.236,0.242
2417,stage2.unit3.quant_act,stage2.unit3.quant_act1,0.11,0.116,77.226,0.252
2418,stage2.unit3.quant_act,stage2.unit3.quant_convbn2,0.11,0.102,77.344,0.134
2419,stage2.unit3.quant_act,stage2.unit3.quant_act2,0.11,0.132,77.248,0.23
2420,stage2.unit3.quant_act,stage2.unit3.quant_convbn3,0.11,0.07,77.352,0.126
2421,stage2.unit3.quant_act,stage2.unit4.quant_act,0.11,0.734,76.708,0.77
2422,stage2.unit3.quant_act,stage2.unit4.quant_convbn1,0.11,0.314,77.098,0.38
2423,stage2.unit3.quant_act,stage2.unit4.quant_act1,0.11,0.406,77.148,0.33
2424,stage2.unit3.quant_act,stage2.unit4.quant_convbn2,0.11,0.158,77.258,0.22
2425,stage2.unit3.quant_act,stage2.unit4.quant_act2,0.11,0.324,77.228,0.25
2426,stage2.unit3.quant_act,stage2.unit4.quant_convbn3,0.11,0.162,77.29,0.188
2427,stage2.unit3.quant_act,stage3.unit1.quant_act,0.11,2.506,74.818,2.66
2428,stage2.unit3.quant_act,stage3.unit1.quant_convbn1,0.11,0.044,77.43,0.048
2429,stage2.unit3.quant_act,stage3.unit1.quant_act1,0.11,1.498,75.85,1.628
2430,stage2.unit3.quant_act,stage3.unit1.quant_convbn2,0.11,0.146,77.206,0.272
2431,stage2.unit3.quant_act,stage3.unit1.quant_act2,0.11,6.106,70.954,6.524
2432,stage2.unit3.quant_act,stage3.unit1.quant_convbn3,0.11,0.168,77.262,0.216
2433,stage2.unit3.quant_act,stage3.unit2.quant_act,0.11,0.324,77.044,0.434
2434,stage2.unit3.quant_act,stage3.unit2.quant_convbn1,0.11,0.038,77.314,0.164
2435,stage2.unit3.quant_act,stage3.unit2.quant_act1,0.11,1.442,75.816,1.662
2436,stage2.unit3.quant_act,stage3.unit2.quant_convbn2,0.11,0.162,77.418,0.06
2437,stage2.unit3.quant_act,stage3.unit2.quant_act2,0.11,0.53,76.816,0.662
2438,stage2.unit3.quant_act,stage3.unit2.quant_convbn3,0.11,0.106,77.372,0.106
2439,stage2.unit3.quant_act,stage3.unit3.quant_act,0.11,0.246,77.096,0.382
2440,stage2.unit3.quant_act,stage3.unit3.quant_convbn1,0.11,0.25,77.2,0.278
2441,stage2.unit3.quant_act,stage3.unit3.quant_act1,0.11,1.5,76.05,1.428
2442,stage2.unit3.quant_act,stage3.unit3.quant_convbn2,0.11,0.174,77.152,0.326
2443,stage2.unit3.quant_act,stage3.unit3.quant_act2,0.11,6.144,71.254,6.224
2444,stage2.unit3.quant_act,stage3.unit3.quant_convbn3,0.11,0.176,77.264,0.214
2445,stage2.unit3.quant_act,stage3.unit4.quant_act,0.11,0.43,77.028,0.45
2446,stage2.unit3.quant_act,stage3.unit4.quant_convbn1,0.11,-0.036,77.336,0.142
2447,stage2.unit3.quant_act,stage3.unit4.quant_act1,0.11,0.708,76.806,0.672
2448,stage2.unit3.quant_act,stage3.unit4.quant_convbn2,0.11,0.156,77.31,0.168
2449,stage2.unit3.quant_act,stage3.unit4.quant_act2,0.11,1.102,76.43,1.048
2450,stage2.unit3.quant_act,stage3.unit4.quant_convbn3,0.11,0.194,77.204,0.274
2451,stage2.unit3.quant_act,stage3.unit5.quant_act,0.11,0.308,77.086,0.392
2452,stage2.unit3.quant_act,stage3.unit5.quant_convbn1,0.11,0.17,77.16,0.318
2453,stage2.unit3.quant_act,stage3.unit5.quant_act1,0.11,1.986,75.424,2.054
2454,stage2.unit3.quant_act,stage3.unit5.quant_convbn2,0.11,0.14,77.244,0.234
2455,stage2.unit3.quant_act,stage3.unit5.quant_act2,0.11,3.05,74.54,2.938
2456,stage2.unit3.quant_act,stage3.unit5.quant_convbn3,0.11,0.096,77.326,0.152
2457,stage2.unit3.quant_act,stage3.unit6.quant_act,0.11,0.422,76.972,0.506
2458,stage2.unit3.quant_act,stage3.unit6.quant_convbn1,0.11,0.18,77.312,0.166
2459,stage2.unit3.quant_act,stage3.unit6.quant_act1,0.11,1.024,76.418,1.06
2460,stage2.unit3.quant_act,stage3.unit6.quant_convbn2,0.11,0.116,77.198,0.28
2461,stage2.unit3.quant_act,stage3.unit6.quant_act2,0.11,4.312,73.084,4.394
2462,stage2.unit3.quant_act,stage3.unit6.quant_convbn3,0.11,0.116,77.28,0.198
2463,stage2.unit3.quant_act,stage4.unit1.quant_act,0.11,12.264,64.926,12.552
2464,stage2.unit3.quant_act,stage4.unit1.quant_convbn1,0.11,0.15,77.246,0.232
2465,stage2.unit3.quant_act,stage4.unit1.quant_act1,0.11,0.256,77.216,0.262
2466,stage2.unit3.quant_act,stage4.unit1.quant_convbn2,0.11,0.066,77.318,0.16
2467,stage2.unit3.quant_act,stage4.unit1.quant_act2,0.11,0.15,77.248,0.23
2468,stage2.unit3.quant_act,stage4.unit1.quant_convbn3,0.11,0.048,77.338,0.14
2469,stage2.unit3.quant_act,stage4.unit2.quant_act,0.11,1.294,76.126,1.352
2470,stage2.unit3.quant_act,stage4.unit2.quant_convbn1,0.11,0.216,77.138,0.34
2471,stage2.unit3.quant_act,stage4.unit2.quant_act1,0.11,0.122,77.278,0.2
2472,stage2.unit3.quant_act,stage4.unit2.quant_convbn2,0.11,0.024,77.304,0.174
2473,stage2.unit3.quant_act,stage4.unit2.quant_act2,0.11,0.052,77.302,0.176
2474,stage2.unit3.quant_act,stage4.unit2.quant_convbn3,0.11,0.148,77.332,0.146
2475,stage2.unit3.quant_act,stage4.unit3.quant_act,0.11,1.1,76.332,1.146
2476,stage2.unit3.quant_act,stage4.unit3.quant_convbn1,0.11,0.308,77.02,0.458
2477,stage2.unit3.quant_act,stage4.unit3.quant_act1,0.11,0.222,77.156,0.322
2478,stage2.unit3.quant_act,stage4.unit3.quant_convbn2,0.11,0.252,77.198,0.28
2479,stage2.unit3.quant_act,stage4.unit3.quant_act2,0.11,0.512,76.912,0.566
2480,stage2.unit3.quant_act,stage4.unit3.quant_convbn3,0.11,0.146,77.236,0.242
2481,stage2.unit3.quant_convbn1,stage2.unit3.quant_act1,0.152,0.116,77.24,0.238
2482,stage2.unit3.quant_convbn1,stage2.unit3.quant_convbn2,0.152,0.102,77.258,0.22
2483,stage2.unit3.quant_convbn1,stage2.unit3.quant_act2,0.152,0.132,77.286,0.192
2484,stage2.unit3.quant_convbn1,stage2.unit3.quant_convbn3,0.152,0.07,77.22,0.258
2485,stage2.unit3.quant_convbn1,stage2.unit4.quant_act,0.152,0.734,76.666,0.812
2486,stage2.unit3.quant_convbn1,stage2.unit4.quant_convbn1,0.152,0.314,77.178,0.3
2487,stage2.unit3.quant_convbn1,stage2.unit4.quant_act1,0.152,0.406,77.05,0.428
2488,stage2.unit3.quant_convbn1,stage2.unit4.quant_convbn2,0.152,0.158,77.276,0.202
2489,stage2.unit3.quant_convbn1,stage2.unit4.quant_act2,0.152,0.324,76.976,0.502
